PosX,PosY,PosZ,ZMode,Begin,End,Sections,StepSize,CycleCount,CycleTime,WaitTime,ValidStack,PositionIdentifier,FileNameBase,MartixIdentifier,TileScanIdentifier,AFCOffset,Valid,SuperZMode,ZPosition
10024982,8403015,0,2,542095,542095,1,0,1,0,0,0,Position0,,0,0,-2,1,1,0.0020599621
10229782,8198215,0,2,545328,545328,1,0,1,0,0,0,Position1,,0,0,-2,1,1,0.0020722501
10434582,7993415,0,2,548562,548562,1,0,1,0,0,0,Position2,,0,0,-2,1,1,0.0020845381
10639382,7788615,0,2,551796,551796,1,0,1,0,0,0,Position3,,0,0,-2,1,1,0.0020968261
10844182,7583815,0,2,555030,555030,1,0,1,0,0,0,Position4,,0,0,-2,1,1,0.0021091141
11048982,7379015,0,2,558263,558263,1,0,1,0,0,0,Position5,,0,0,-2,1,1,0.0021214021
11253782,7174215,0,2,561497,561497,1,0,1,0,0,0,Position6,,0,0,-2,1,1,0.0021336901
11458582,6969415,0,2,564731,564731,1,0,1,0,0,0,Position7,,0,0,-2,1,1,0.0021459781
11663382,6764615,0,2,567964,567964,1,0,1,0,0,0,Position8,,0,0,-2,1,1,0.0021582661
11868182,6559815,0,2,571198,571198,1,0,1,0,0,0,Position9,,0,0,-2,1,1,0.0021705541
10024982,6355015,0,2,498979,498979,1,0,1,0,0,0,Position10,,0,0,-2,1,1,0.0018961221
12072982,8403015,0,2,617547,617547,1,0,1,0,0,0,Position11,,0,0,-2,1,1,0.0023466821
